logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,Category
1.751901425,2.18080456,5.939148484,0.001746615,0.005759231,-2.459728484,g4191.t1,Upregulated
-1.232261262,2.32953591,-4.995884823,0.003796375,0.010577518,-3.364094003,g5511.t1,Downregulated
0.369011612,0.210885523,6.48899021,0.001159755,0.004180706,-1.98042861,g12730.t1,None
-1.613108886,4.175758545,-3.617485472,0.014502974,0.031121021,-4.904163229,g10842.t1,Downregulated
0.427596769,0.301536607,6.608182196,0.001065196,0.003918303,-1.880715036,g7669.t1,None
1.257024304,2.020933853,8.422662823,0.000334813,0.001622111,-0.51979217,g2818.t1,Upregulated
0.013444478,0.042958201,0.424467156,0.688378333,0.745376577,-8.684560341,g10218.t1,None
0.194130008,0.468198424,3.042333218,0.027610985,0.052363153,-5.628598788,g11282.t1,None
-0.86394399,0.795618792,-11.12007488,8.54510847893249e-05,0.000580131,1.091477726,g1730.t1,None
0.004456114,0.089389846,0.154394629,0.883168552,0.910839216,-8.776080624,g11157.t1,None
-0.268896427,1.475581814,-1.473845704,0.198874585,0.268262978,-7.7084268,g3071.t1,None
-1.560712682,1.195052525,-5.853851509,0.001866129,0.0060665,-2.537070146,g1543.t1,Downregulated
0.304779821,0.291280158,8.024520171,0.000423136,0.001942209,-0.795587438,g8276.t1,None
0.054398197,0.130125223,1.974038434,0.103719403,0.156304937,-7.05831918,g6931.t1,None
0.075292194,0.061847034,2.687904375,0.042125404,0.074151837,-6.095582364,g4568.t1,None
0.052487638,0.21878915,1.371785634,0.226884497,0.299522893,-7.832835052,g6536.t1,None
-0.046010794,0.181921654,-1.049047951,0.340878076,0.420972914,-8.194900187,g12956.t1,None
0.00411618,0.883827273,0.030095865,0.97712243,0.982323518,-8.789737468,g12769.t1,None
0.047733503,0.05820704,1.94092611,0.108271775,0.162020928,-7.102680565,g5338.t1,None
0.892747406,6.313813866,10.80932923,9.83683693102633e-05,0.000644919,0.925275481,g11139.t1,None
1.239683855,4.890426445,4.702618866,0.004938515,0.013007917,-3.668805746,g977.t1,Upregulated
0.027946004,0.467161124,0.509520854,0.631468683,0.695853725,-8.639079536,g7820.t1,None
0.014364315,0.01860072,0.551185531,0.604571208,0.670856443,-8.614065808,g9937.t1,None
-0.280332702,4.094664501,-1.389520738,0.221764488,0.293976373,-7.811500859,g7225.t1,None
0.102395024,0.075119892,3.665279104,0.013779724,0.029858229,-4.846077241,g2880.t1,None
-0.508049227,0.816345825,-4.529264067,0.0058,0.014809683,-3.85458075,g5045.t1,None
-0.247901426,7.361623267,-3.368941048,0.019032947,0.038673472,-5.211592267,g12813.t1,None
-0.338502,1.199631207,-1.52348298,0.186472734,0.254634629,-7.646594236,g13831.t1,None
0.318006616,0.348151697,8.90687507,0.000255109,0.001314448,-0.199291811,g2012.t1,None
-0.291799097,2.7211703,-1.869564564,0.118795604,0.174794911,-7.197868703,g5529.t1,None
0.149233273,0.169363179,3.807641592,0.011857093,0.026387013,-4.675062416,g11790.t1,None
0.021704651,0.432563848,0.208203578,0.843055995,0.878593227,-8.764508659,g4276.t1,None
0.326074033,0.352183818,7.548227552,0.000567628,0.0024429,-1.141349968,g2620.t1,None
0.449341269,1.261278892,3.451718795,0.017366785,0.035818605,-5.108216131,g82.t1,None
0.337997425,1.410672739,2.180019255,0.079534551,0.12535124,-6.780556763,g6474.t1,None
-0.412580507,0.371263647,-2.245041158,0.073196304,0.116880751,-6.692527069,g8363.t1,None
0.114386921,0.123354817,2.845035597,0.034849312,0.06342795,-5.886931626,g7088.t1,None
-1.047590716,2.451425709,-8.247093057,0.000370772,0.001756439,-0.639989528,g6049.t1,Downregulated
-0.270951717,0.309346973,-3.5618885,0.015399138,0.03264878,-4.972155451,g3632.t1,None
0.194263089,0.281788677,5.35660167,0.002787634,0.008359274,-3.005118456,g9631.t1,None
-1.068185477,3.933441829,-4.41632344,0.00645479,0.016103429,-3.977930896,g11350.t1,Downregulated
0.092754862,0.299345366,3.206833338,0.02284482,0.044837337,-5.416801259,g284.t1,None
0.124028549,0.099663775,3.204077634,0.022916647,0.044940033,-5.420320438,g2168.t1,None
0.216653619,0.230520301,7.919275949,0.000450915,0.002043663,-0.870456938,g11595.t1,None
1.214361537,7.183207853,15.62278237,1.55103322243153e-05,0.000171327,3.104607873,g8679.t1,Upregulated
2.640041201,3.679924476,10.1605203,0.00013364,0.000806529,0.563536266,Mtet_Pt_rpl36,Upregulated
0.242951762,0.218536438,4.177763181,0.008139052,0.019345991,-4.244602052,g8070.t1,None
0.033804157,0.061672923,0.997317923,0.363142371,0.443355975,-8.247410056,g13954.t1,None
0.581533111,6.174422866,5.069766236,0.003559089,0.010089633,-3.289176018,g2240.t1,None
-0.623626301,0.378583676,-3.639540746,0.014163988,0.030558672,-4.877316508,g6440.t1,None
0.073119018,0.092940388,2.834545036,0.035289269,0.064056667,-5.900787251,g3092.t1,None
0.104797489,0.233422944,1.846261235,0.122454587,0.179285716,-7.228810215,g501.t1,None
-0.408746918,3.003070922,-2.061003371,0.092684306,0.142337495,-6.941354635,g3432.t1,None
-0.130724299,0.09760061,-2.252820558,0.072474695,0.115981908,-6.681991704,g5812.t1,None
1.169480975,8.422158482,8.595501085,0.000303374,0.001500777,-0.403577427,g11516.t1,Upregulated
0.313581925,0.233025996,9.114479415,0.000227955,0.001203717,-0.066567326,g4934.t1,None
-1.284304413,7.098109017,-2.362696717,0.063054815,0.103174908,-6.533221006,g6146.t2,None
-0.351942089,1.376972695,-2.602015412,0.046796257,0.081182099,-6.210537028,g4771.t1,None
-0.251961328,1.793827471,-1.200269878,0.282326258,0.360128523,-8.032003251,g5020.t1,None
-0.146561198,4.901964898,-1.12144401,0.311656441,0.390791669,-8.118573264,g729.t1,None
0.185533444,0.150437368,5.762740797,0.002004507,0.006425984,-2.620611989,g493.t1,None
3.209028019,7.661128281,43.04463017,8.74167437504788e-08,7.35418058079572e-06,9.072582755,g8147.t1,Upregulated
0.762924782,4.678520227,3.399391248,0.018399904,0.037526163,-5.173451971,g4711.t1,None
0.438311565,1.647971167,3.200316532,0.02301509,0.045090376,-5.425125188,g10078.t1,None
-0.012884558,0.041565443,-0.395975583,0.708000389,0.761754994,-8.698072677,g7714.t1,None
-0.146923627,0.737725025,-2.3464064,0.064364459,0.10507906,-6.555267744,g5263.t1,None
0.619643555,0.34752252,7.039316966,0.000791142,0.003143016,-1.531621827,g11164.t1,None
0.108903902,1.788006081,0.433166115,0.682440956,0.739808975,-8.680260264,g10653.t1,None
0.098960585,0.602577655,0.73458792,0.49466371,0.569218998,-8.483931903,g12025.t1,None
-0.956270581,2.291374341,-5.517675044,0.002440512,0.007509206,-2.850208448,g10266.t1,None
0.035753893,0.171919027,0.311540828,0.76761009,0.813956359,-8.732877193,g13213.t1,None
-0.334209817,5.26763961,-2.591175566,0.047424897,0.082051696,-6.2250842,g10840.t1,None
0.100487345,0.861430265,0.648269758,0.544608093,0.616046131,-8.549115071,g999.t1,None
0.074392352,0.120199154,2.317242913,0.066782418,0.108320461,-6.594748868,g6962.t1,None
3.675111738,2.331338628,28.0571239,7.85399830313634e-07,2.54565088697066e-05,6.588851419,g3028.t1,Upregulated
2.08233428,8.62536841,15.99881634,1.37517337524399e-05,0.000156865,3.246314702,g3045.t1,Upregulated
0.001641675,0.659769034,0.021372629,0.983752004,0.987244151,-8.790005454,g14152.t1,None
0.014513085,0.029913458,0.529964214,0.61818698,0.683505969,-8.627026333,g8035.t1,None
0.422780554,0.441238437,9.174798736,0.000220717,0.001181635,-0.028508379,g12943.t1,None
0.298391304,0.267327125,4.73484798,0.004795194,0.012705941,-3.634736277,g2008.t1,None
0.19627985,0.16682803,6.95396871,0.000838095,0.003277217,-1.599331576,g5356.t1,None
0.885968899,0.874629053,12.76849119,4.28496557109655e-05,0.000347542,1.906325873,g10100.t1,None
-1.209001116,1.479903612,-4.74983144,0.004730208,0.012577134,-3.618946784,g7485.t2,Downregulated
0.432554338,0.289203995,11.30707524,7.86480948398002e-05,0.000541993,1.189424531,g10746.t1,None
0.328568485,0.520949122,5.147401335,0.003328116,0.009573839,-3.211234057,g4686.t1,None
-0.114045195,1.575046777,-0.460846871,0.663720667,0.7235736,-8.66603959,g13590.t1,None
0.81908063,0.853762127,10.17335522,0.000132809,0.000802978,0.570895457,g1365.t1,None
0.04336231,0.10119732,1.266988979,0.259441604,0.335355854,-7.956166229,g11147.t1,None
0.285634979,0.346872648,5.074602427,0.003544168,0.010049805,-3.284297395,g1378.t2,None
0.296854435,0.508624861,4.791657088,0.004554134,0.012196228,-3.575036906,g5159.t1,None
0.163569102,0.953428031,1.601244651,0.168534382,0.233347508,-7.548211598,g4756.t1,None
0.017663767,0.026526407,0.736594596,0.493541599,0.568154752,-8.482337166,g8515.t1,None
0.01887298,0.056642092,0.535924151,0.614345239,0.680041459,-8.623432317,g2480.t1,None
0.206602719,1.152095905,1.493315557,0.193918464,0.262777538,-7.684269544,g4292.t1,None
-1.21843868,6.386653958,-4.982681277,0.003840692,0.010692902,-3.377559958,g2326.t1,Downregulated
-0.290545446,0.899794238,-1.404174226,0.217615993,0.28934553,-7.793779865,g4178.t1,None
-0.556239242,0.802374766,-1.629286731,0.162488593,0.22622732,-7.512323418,g11629.t1,None
0.174447318,0.228725762,4.362390002,0.00679733,0.016776358,-4.037488684,g3794.t1,None
0.306352484,0.502179146,7.361877251,0.000639552,0.002668961,-1.281652282,g719.t1,None
0.174544524,0.299368158,2.6878495,0.04212822,0.074151837,-6.095655623,g1148.t1,None
-1.044130007,3.487407043,-14.11231529,2.59139249300762e-05,0.000243321,2.499672753,g324.t1,Downregulated
-2.331496095,5.497066905,-6.10338312,0.001540819,0.005239603,-2.313128129,g356.t1,Downregulated
0.372065819,0.282750246,10.01946713,0.000143186,0.000849022,0.482096039,g13389.t1,None
0.165610373,0.153872076,5.613810932,0.00225742,0.007044348,-2.759278442,g4099.t1,None
0.083940186,0.156090255,2.227988164,0.074804986,0.119004176,-6.715619847,g13934.t1,None
0.014079857,0.076043798,0.518711361,0.625477963,0.690374747,-8.633713725,g5419.t1,None
0.874975791,6.892954854,6.887988998,0.000876651,0.003388089,-1.652139649,g5161.t1,None
-0.026104265,0.14018189,-0.351672388,0.73901945,0.78872099,-8.71732187,g10915.t2,None
0.071068809,0.076162682,2.475073409,0.054765671,0.092164081,-6.381355181,g8926.t1,None
-0.07620186,0.082420937,-2.499973306,0.053093193,0.089903675,-6.347776386,g4598.t1,None
0.086701182,0.664009346,0.769839272,0.47521283,0.5506313,-8.455409385,g8985.t1,None
1.179561199,1.875261062,9.808485971,0.00015902,0.000918705,0.358310855,g669.t1,Upregulated
0.019114686,0.022085166,0.782073104,0.468592498,0.544713365,-8.445262342,g4470.t1,None
0.111942593,0.117581113,3.456022208,0.017284781,0.03569062,-5.102868524,g4140.t1,None
2.325791768,4.239569311,7.494624048,0.000587292,0.002508786,-1.181408442,g618.t2,Upregulated
1.069155713,2.644406126,4.431549924,0.006361717,0.015953195,-3.961193257,g7549.t1,Upregulated
0.319252635,0.397049326,6.942633694,0.000844575,0.003291726,-1.608374792,g14035.t1,None
0.21241003,0.266170059,4.180329895,0.00811842,0.019316877,-4.241688208,g12060.t1,None
0.027570146,0.121268327,0.895768461,0.410294382,0.49076013,-8.34512606,g2076.t1,None
0.878332131,0.46377419,27.15484099,9.28463798773699e-07,2.81495563833468e-05,6.395737363,g12469.t1,None
-1.238610139,3.213034735,-4.375534651,0.006711954,0.016601206,-4.022934141,g9093.t1,Downregulated
1.328847316,3.800642132,18.27396636,7.00587596721085e-06,9.71295992999233e-05,4.039292958,g12656.t1,Upregulated
0.824153111,2.647170013,3.076251512,0.026543773,0.050595173,-5.584647671,g12335.t1,None
-0.458954255,1.3926212,-3.839422954,0.011470817,0.025651258,-4.637296697,g521.t1,None
0.147098524,0.499752729,1.978369059,0.103138825,0.155531728,-7.05250943,g975.t1,None
0.292071865,0.394282865,4.006070577,0.009666403,0.022293043,-4.44174079,g6622.t1,None
1.175544691,7.332377754,14.32312892,2.40482670308617e-05,0.000233412,2.587780141,g12295.t1,Upregulated
-0.087092887,0.131968333,-3.282085002,0.02097779,0.041835748,-5.321094594,g7456.t1,None
0.011187942,0.024936617,0.451542047,0.66998367,0.729219397,-8.670910681,g3505.t1,None
0.006584832,0.025816867,0.269049164,0.798341006,0.839588018,-8.747366116,g10274.t1,None
-1.945586526,3.720450006,-7.361558066,0.000639684,0.002668961,-1.281895123,g5315.t1,Downregulated
